214,207,257,96,32,540,315,487,335,45,7,455,148,431,152,149,79,30,168,121,468
143,169,125,164,133,172,131,203,209,190,150,123,135,101,139,126,122,198,140,138,221
-8042.8,-8243,-1630.8,-7906.2,-10518,-5336.9,-1359.8,-8379.7,-10409,-10775,-9066.3,-8425.1,-3193.4,2446.1,-5558.1,-3803.2,-4047.5,-10196,-3310.6,-4249.8,-7976
-2145.7,-1911.6,1808.4,2226.9,1287.7,-9097.1,-85.298,-9323.7,-7031.3,1013.2,4216.8,-9066,4826.5,-1893.2,2331.6,4089.7,6771.6,2348.7,3934.8,4904.5,-8538.1
105,80,57,65,125,80,54,87,94,72,82,166,50,64,70,65,64,52,48,54,59
52,40,28,32,62,40,27,43,46,36,40,82,25,32,35,32,32,26,24,27,30
0.4628,0.68532,0.70866,0.66835,0.10802,0.60965,0.60688,0.57282,0.51453,0.51174,0.40336,0.023172,0.48323,0.46351,0.47235,0.4752,0.46477,0.42195,0.46463,0.4954,0.40709
240,227,271,112,63,560,328.5,508.5,358,63,27,496,160.5,447,169.5,165,95,43,180,134.5,483
248,249,182,229,258,252,185,290,303,262,232,289,185,165,209,191,186,250,188,192,280
-8042.8,-8243,-1630.8,-7906.2,-10518,-5336.9,-1359.8,-8379.7,-10409,-10775,-9066.3,-8425.1,-3193.4,2446.1,-5558.1,-3803.2,-4047.5,-10196,-3310.6,-4249.8,-7976
-2145.7,-1911.6,1808.4,2226.9,1287.7,-9097.1,-85.298,-9323.7,-7031.3,1013.2,4216.8,-9066,4826.5,-1893.2,2331.6,4089.7,6771.6,2348.7,3934.8,4904.5,-8538.1
